"Day","Start Time","End Time","Program","Facilitators","Topic","Outline","Audience","OSF link","Slack channel name","Slack channel link","Technical assistance","Jul","Ste","Mag","Ani","Ine","Sof","Mar","Aph","Olu","Los","Abd"
2025-10-15,"2025-10-15 07:00:00","2025-10-16 07:15:00","Conference opening","SORTEE leadership","Opening remarks","Short talk by SORTEE leadership","Everyone","https://osf.io/jk9yu/","#conference2025","https://sortee.slack.com/archives/C09H0S271V4","Anita Tarandek, Marija Purgar",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 07:15:00","2025-10-15 08:00:00","Introduction to Open Science Practices: The ‘what’, ‘why’, and ‘how’ of open science","SORTEE Education & Outreach Committee","What is open science, why does it matter, and how can you make your work more transparent? This introductory session will provide a brief overview of key areas in open, reliable, and transparent research.","A presentation broken up into key topics (e.g., ""Code and data sharing"" or ""Preprints""). For each, the facilitators will explain what it means, the motivation for doing it, and give links to useful resources (papers, tools like EcoEvoRxiv, Dryad, etc.)","A session dedicated to people new to open science practices but everybody is welcome to attend!","https://osf.io/qf2dv/","#conf2025-introduction-to-open-science","https://sortee.slack.com/archives/C09HUSLKQBS","Anita Tarandek, Marija Purgar",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 08:00:00","2025-10-15 08:30:00","Unconference 1: A “Garden of Forking Paths” or of “Apples and Oranges”?","Ulrich Knief, Wolfgang Forstmeier","When a large number of researchers is asked to analyze the same dataset to address a shared research question, results often show substantial heterogeneity between analysts. This heterogeneity has been documented in several “many-analyst studies”, and is usually attributed to arbitrary decisions in data analysis (the so-called “Garden of Forking Paths”), which seems to be the reason behind the variance in study outcomes and conclusions. In this Unconference, we would like to discuss whether such heterogeneity truly reflects noise emerging from arbitrary analysis decisions, or whether different researchers were in fact addressing different biological questions (i.e. “comparing Apples and Oranges”).","The session will start with an introductory note on how heterogeneity in research findings can be explained as originating from multiple sources of error, one of which is the uncertainty of how to best analyze the data. We will then proceed to a specific example, which illustrates that truly arbitrary analysis decisions have surprisingly little effect on the outcome, and that most of the disagreement in conclusions results from researchers implicitly asking different questions, often without being aware of this. This will serve as a starting point for an open discussion on the generality of these insights and their implications.","Everyone is welcome and likely to benefit, regardless of statistical background. Researchers with expertise in statistics, meta-analysis, and philosophy of science are particularly encouraged to attend.","https://osf.io/kre8g/","#conf2025-u01-a-garden-of-forking-paths-or-of-apples-and-oranges","https://sortee.slack.com/archives/C09H1BGR4BU","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 08:30:00","2025-10-15 08:55:00","Unconference 1 (continued)","Ulrich Knief, Wolfgang Forstmeier","When a large number of researchers is asked to analyze the same dataset to address a shared research question, results often show substantial heterogeneity between analysts. This heterogeneity has been documented in several “many-analyst studies”, and is usually attributed to arbitrary decisions in data analysis (the so-called “Garden of Forking Paths”), which seems to be the reason behind the variance in study outcomes and conclusions. In this Unconference, we would like to discuss whether such heterogeneity truly reflects noise emerging from arbitrary analysis decisions, or whether different researchers were in fact addressing different biological questions (i.e. “comparing Apples and Oranges”).","The session will start with an introductory note on how heterogeneity in research findings can be explained as originating from multiple sources of error, one of which is the uncertainty of how to best analyze the data. We will then proceed to a specific example, which illustrates that truly arbitrary analysis decisions have surprisingly little effect on the outcome, and that most of the disagreement in conclusions results from researchers implicitly asking different questions, often without being aware of this. This will serve as a starting point for an open discussion on the generality of these insights and their implications.","Everyone is welcome and likely to benefit, regardless of statistical background. Researchers with expertise in statistics, meta-analysis, and philosophy of science are particularly encouraged to attend.","https://osf.io/kre8g/","#conf2025-u01-a-garden-of-forking-paths-or-of-apples-and-oranges","https://sortee.slack.com/archives/C09H1BGR4BU","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 09:00:00","2025-10-15 09:30:00","Hackathon 1: Rally support for Open Science in Ecology & Evolution","SORTEE Member Engagement Committee","Help promote SORTEE to a wide and diverse audience! In this hackathon, we’ll use email and social media templates to invite your colleagues and peers to connect to SORTEE. Together, the hackathon participants’ extended network will thus rally support for Open Science in Ecology & Evolution.","We will come together as a community and work towards our shared goal of rallying support for more Open, Reliable and Transparent (ORT) research in Ecology & Evolution. By becoming a SORTEE member and inviting potential new members, you help expand SORTEE’s community, so SORTEE can be more efficient in advocating for and training people in ORT.</br>
During the hackathon, we will do three activities towards this goal:</br>
(1) Use our committee’s new outreach email and social media templates to invite your colleagues to SORTEE.</br>
(2) Expand SORTEE's social media networks, to invite diverse groups of people to connect to SORTEE on LinkedIn and BlueSky, via a short tutorial.</br>
(3) Open discussion on how to best pitch SORTEE to others.</br>
Join and meet each other! Boosting your motivation to keep working towards Open Science.","Everyone. Anyone interested in Open Science and willing to help expand SORTEE’s community is welcome.","https://osf.io/f8e6c/","#conf2025-h01-rally-support-for-open-science-in-ecology-and-evolution","https://sortee.slack.com/archives/C09HUSP7JD6","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 09:30:00","2025-10-15 09:55:00","Hackathon 1 (continued)","SORTEE Member Engagement Committee","Help promote SORTEE to a wide and diverse audience! In this hackathon, we’ll use email and social media templates to invite your colleagues and peers to connect to SORTEE. Together, the hackathon participants’ extended network will thus rally support for Open Science in Ecology & Evolution.","We will come together as a community and work towards our shared goal of rallying support for more Open, Reliable and Transparent (ORT) research in Ecology & Evolution. By becoming a SORTEE member and inviting potential new members, you help expand SORTEE’s community, so SORTEE can be more efficient in advocating for and training people in ORT.</br>
During the hackathon, we will do three activities towards this goal:</br>
(1) Use our committee’s new outreach email and social media templates to invite your colleagues to SORTEE.</br>
(2) Expand SORTEE's social media networks, to invite diverse groups of people to connect to SORTEE on LinkedIn and BlueSky, via a short tutorial.</br>
(3) Open discussion on how to best pitch SORTEE to others.</br>
Join and meet each other! Boosting your motivation to keep working towards Open Science.","Everyone. Anyone interested in Open Science and willing to help expand SORTEE’s community is welcome.","https://osf.io/f8e6c/","#conf2025-h01-rally-support-for-open-science-in-ecology-and-evolution","https://sortee.slack.com/archives/C09HUSP7JD6","Ineta Kačergytė, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 10:00:00","2025-10-15 10:30:00","Unconference 2: Establishing guidelines for research integrity in macroecology and macroevolution","Joseph Tobias, Bethany Allen, Alex Pigot, Will Pearse","Research quality in macroecology, macroevolution and One Health may be undermined by inappropriate research practices, yet pre-registration of research proposals in these high-impact fields is almost non-existent. This session will explore whether pre-registration could improve research transparency, rigour and integrity in non-experimental macro-scale research, and if so what form it should take. The goal is to co-create an outline of guidelines that could be developed and published to promote pre-registration and related practices in fields often considered to be outside the scope of pre-registration.","0–15 mins: Introduction<br>
15–45 mins: Break-out session 1 “challenges and opportunities” (2 groups A and B)<br>
45–60 mins: Summary and discussion of goals<br>
60–100 mins: Break out session 2 “planning the guidelines” (2 groups A and B)<br>
100–120 mins: Wrap up and suggestions for next steps<br>","Everyone","","#conf2025-u02-establishing-guidelines-for-research-integrity","https://sortee.slack.com/archives/C09HUSKPSLQ","Anita Tarandek, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 10:30:00","2025-10-15 11:00:00","Unconference 2 (continued)","Joseph Tobias, Bethany Allen, Alex Pigot, Will Pearse","Research quality in macroecology, macroevolution and One Health may be undermined by inappropriate research practices, yet pre-registration of research proposals in these high-impact fields is almost non-existent. This session will explore whether pre-registration could improve research transparency, rigour and integrity in non-experimental macro-scale research, and if so what form it should take. The goal is to co-create an outline of guidelines that could be developed and published to promote pre-registration and related practices in fields often considered to be outside the scope of pre-registration.","0–15 mins: Introduction<br>
15–45 mins: Break-out session 1 “challenges and opportunities” (2 groups A and B)<br>
45–60 mins: Summary and discussion of goals<br>
60–100 mins: Break out session 2 “planning the guidelines” (2 groups A and B)<br>
100–120 mins: Wrap up and suggestions for next steps<br>","Everyone","","#conf2025-u02-establishing-guidelines-for-research-integrity","https://sortee.slack.com/archives/C09HUSKPSLQ","Anita Tarandek, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 11:00:00","2025-10-15 11:30:00","Unconference 2 (continued)","Joseph Tobias, Bethany Allen, Alex Pigot, Will Pearse","Research quality in macroecology, macroevolution and One Health may be undermined by inappropriate research practices, yet pre-registration of research proposals in these high-impact fields is almost non-existent. This session will explore whether pre-registration could improve research transparency, rigour and integrity in non-experimental macro-scale research, and if so what form it should take. The goal is to co-create an outline of guidelines that could be developed and published to promote pre-registration and related practices in fields often considered to be outside the scope of pre-registration.","0–15 mins: Introduction<br>
15–45 mins: Break-out session 1 “challenges and opportunities” (2 groups A and B)<br>
45–60 mins: Summary and discussion of goals<br>
60–100 mins: Break out session 2 “planning the guidelines” (2 groups A and B)<br>
100–120 mins: Wrap up and suggestions for next steps<br>","Everyone","","#conf2025-u02-establishing-guidelines-for-research-integrity","https://sortee.slack.com/archives/C09HUSKPSLQ","Anita Tarandek, Magdalena Wutkowska",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2025-10-15,"2025-10-15 11:30:00","2025-10-15 12:00:00","Unconference 2 (continued)","Joseph Tobias, Bethany Allen, Alex Pigot, Will Pearse","Research quality in macroecology, macroevolution and One Health may be undermined by inappropriate research practices, yet pre-registration of research proposals in these high-impact fields is almost non-existent. This session will explore whether pre-registration could improve research transparency, rigour and integrity in non-experimental macro-scale research, and if so what form it should take. The goal is to co-create an outline of guidelines that could be developed and published to promote pre-registration and related practices in fields often considered to be outside the scope of pre-registration.","0–15 mins: Introduction<br>
15–45 mins: Break-out session 1 “challenges and opportunities” (2 groups A and B)<br>
45–60 mins: Summary and discussion of goals<br>
60–100 mins: Break out session 2 “planning the guidelines” (2 groups A and B)<br>
100–120 mins: Wrap up and suggestions for next steps<br>","Everyone","","#conf2025-u02-establishing-guidelines-for-research-integrity","https://sortee.slack.com/archives/C09HUSKPSLQ","Anita Tarandek, Magdalena Wutkowska",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
